ParentPath,FileName,FileSize
.\Program Files (x86)\Common Files\Microsoft Shared\DAO,dao360.dll,610304
.\Program Files (x86)\Common Files\Microsoft Shared\Filters,tifffilt.dll,176640
.\Program Files (x86)\Common Files\Microsoft Shared\ink\en-US,micaut.dll.mui,9216
.\Program Files (x86)\Common Files\Microsoft Shared\ink,InkDiv.dll,304128
.\Program Files (x86)\Common Files\Microsoft Shared\ink,InkObj.dll,1519104
.\Program Files (x86)\Common Files\Microsoft Shared\ink\ko-KR,InkObj.dll.mui,4096
.\Program Files (x86)\Common Files\Microsoft Shared\ink\ko-KR,mshwLatin.dll.mui,3072
.\Program Files (x86)\Common Files\Microsoft Shared\ink\ko-KR,rtscom.dll.mui,3072
.\Program Files (x86)\Common Files\Microsoft Shared\ink\ko-KR,TabTip32.exe.mui,2560
.\Program Files (x86)\Common Files\Microsoft Shared\ink\ko-KR,TipRes.dll.mui,16384
.\Program Files (x86)\Common Files\Microsoft Shared\ink\ko-KR,TipTsf.dll.mui,3072
.\Program Files (x86)\Common Files\Microsoft Shared\ink,micaut.dll,1453056
.\Program Files (x86)\Common Files\Microsoft Shared\ink,Microsoft.Ink.dll,503808
.\Program Files (x86)\Common Files\Microsoft Shared\ink,mraut.dll,6314496
.\Program Files (x86)\Common Files\Microsoft Shared\ink,mshwgst.dll,56320
.\Program Files (x86)\Common Files\Microsoft Shared\ink,mshwkor.dll,520192
.\Program Files (x86)\Common Files\Microsoft Shared\ink,mshwkorr.dll,13637632
.\Program Files (x86)\Common Files\Microsoft Shared\ink,mshwLatin.dll,1085952
.\Program Files (x86)\Common Files\Microsoft Shared\ink,penchs.dll,2048
.\Program Files (x86)\Common Files\Microsoft Shared\ink,pencht.dll,2048
.\Program Files (x86)\Common Files\Microsoft Shared\ink,penjpn.dll,2048
.\Program Files (x86)\Common Files\Microsoft Shared\ink,penkor.dll,2048
.\Program Files (x86)\Common Files\Microsoft Shared\ink,penusa.dll,2048
.\Program Files (x86)\Common Files\Microsoft Shared\ink,pipanel.dll,85504
.\Program Files (x86)\Common Files\Microsoft Shared\ink,pipanel.exe,7680
.\Program Files (x86)\Common Files\Microsoft Shared\ink,pipres.dll,2048
.\Program Files (x86)\Common Files\Microsoft Shared\ink,rtscom.dll,131584
.\Program Files (x86)\Common Files\Microsoft Shared\ink,skchobj.dll,2048
.\Program Files (x86)\Common Files\Microsoft Shared\ink,skchui.dll,2048
.\Program Files (x86)\Common Files\Microsoft Shared\ink,TabTip32.exe,22888
.\Program Files (x86)\Common Files\Microsoft Shared\ink,ThirdPartyNotices.ko-kr.txt,19626
.\Program Files (x86)\Common Files\Microsoft Shared\ink,ThirdPartyNotices.MSHWLatin.txt,19626
.\Program Files (x86)\Common Files\Microsoft Shared\ink,tiptsf.dll,525680
.\Program Files (x86)\Common Files\Microsoft Shared\ink,tpcps.dll,47104
.\Program Files (x86)\Common Files\Microsoft Shared\MSInfo,msinfo32.exe,338944
.\Program Files (x86)\Common Files\Microsoft Shared\VGX,VGX.dll,820224
.\Program Files (x86)\Common Files\Services,verisign.bmp,2702
.\Program Files (x86)\Common Files\System\ado,adojavas.inc,14856
.\Program Files (x86)\Common Files\System\ado,adovbs.inc,15195
.\Program Files (x86)\Common Files\System\ado\ko-KR,msader15.dll.mui,11264
.\Program Files (x86)\Common Files\System\ado,msader15.dll,2560
.\Program Files (x86)\Common Files\System\ado,msado15.dll,1089024
.\Program Files (x86)\Common Files\System\ado,msado20.tlb,50688
.\Program Files (x86)\Common Files\System\ado,msado21.tlb,53760
.\Program Files (x86)\Common Files\System\ado,msado25.tlb,69632
.\Program Files (x86)\Common Files\System\ado,msado26.tlb,70656
.\Program Files (x86)\Common Files\System\ado,msado27.tlb,71168
.\Program Files (x86)\Common Files\System\ado,msado28.tlb,70656
.\Program Files (x86)\Common Files\System\ado,msado60.tlb,70656
.\Program Files (x86)\Common Files\System\ado,msadomd.dll,315904
.\Program Files (x86)\Common Files\System\ado,msadomd28.tlb,13824
.\Program Files (x86)\Common Files\System\ado,msador15.dll,43520
.\Program Files (x86)\Common Files\System\ado,msador28.tlb,35840
.\Program Files (x86)\Common Files\System\ado,msadox.dll,337408
.\Program Files (x86)\Common Files\System\ado,msadox28.tlb,24576
.\Program Files (x86)\Common Files\System\ado,msadrh15.dll,79872
.\Program Files (x86)\Common Files\System\ado,msjro.dll,128000
.\Program Files (x86)\Common Files\System\ko-KR,wab32res.dll.mui,66560
.\Program Files (x86)\Common Files\System\msadc,adcjavas.inc,630
.\Program Files (x86)\Common Files\System\msadc,adcvbs.inc,623
.\Program Files (x86)\Common Files\System\msadc\ko-KR,msadcer.dll.mui,7168
.\Program Files (x86)\Common Files\System\msadc\ko-KR,msadcor.dll.mui,5120
.\Program Files (x86)\Common Files\System\msadc\ko-KR,msaddsr.dll.mui,9216
.\Program Files (x86)\Common Files\System\msadc\ko-KR,msdaprsr.dll.mui,5632
.\Program Files (x86)\Common Files\System\msadc\ko-KR,msdaremr.dll.mui,4608
.\Program Files (x86)\Common Files\System\msadc,msadce.dll,600064
.\Program Files (x86)\Common Files\System\msadc,msadcer.dll,2560
.\Program Files (x86)\Common Files\System\msadc,msadco.dll,210944
.\Program Files (x86)\Common Files\System\msadc,msadcor.dll,2560
.\Program Files (x86)\Common Files\System\msadc,msadds.dll,238080
.\Program Files (x86)\Common Files\System\msadc,msaddsr.dll,2560
.\Program Files (x86)\Common Files\System\msadc,msdaprsr.dll,2560
.\Program Files (x86)\Common Files\System\msadc,msdaprst.dll,324096
.\Program Files (x86)\Common Files\System\msadc,msdarem.dll,188416
.\Program Files (x86)\Common Files\System\msadc,msdaremr.dll,2560
.\Program Files (x86)\Common Files\System\msadc,msdfmap.dll,26112
.\Program Files (x86)\Common Files\System\Ole DB\ko-KR,msdaorar.dll.mui,7168
.\Program Files (x86)\Common Files\System\Ole DB\ko-KR,msdasqlr.dll.mui,4608
.\Program Files (x86)\Common Files\System\Ole DB\ko-KR,oledb32r.dll.mui,32256
.\Program Files (x86)\Common Files\System\Ole DB\ko-KR,sqloledb.rll.mui,37888
.\Program Files (x86)\Common Files\System\Ole DB\ko-KR,sqlxmlx.rll.mui,12800
.\Program Files (x86)\Common Files\System\Ole DB,msdadc.dll,8192
.\Program Files (x86)\Common Files\System\Ole DB,msdaenum.dll,8192
.\Program Files (x86)\Common Files\System\Ole DB,msdaer.dll,8192
.\Program Files (x86)\Common Files\System\Ole DB,msdaora.dll,278016
.\Program Files (x86)\Common Files\System\Ole DB,msdaorar.dll,2560
.\Program Files (x86)\Common Files\System\Ole DB,msdaosp.dll,78336
.\Program Files (x86)\Common Files\System\Ole DB,msdaps.dll,247808
.\Program Files (x86)\Common Files\System\Ole DB,msdasc.dll,8192
.\Program Files (x86)\Common Files\System\Ole DB,msdasql.dll,626688
.\Program Files (x86)\Common Files\System\Ole DB,msdasqlr.dll,54784
.\Program Files (x86)\Common Files\System\Ole DB,msdatl3.dll,100352
.\Program Files (x86)\Common Files\System\Ole DB,msdatt.dll,8192
.\Program Files (x86)\Common Files\System\Ole DB,msdaurl.dll,8192
.\Program Files (x86)\Common Files\System\Ole DB,msxactps.dll,11776
.\Program Files (x86)\Common Files\System\Ole DB,oledb32.dll,802304
.\Program Files (x86)\Common Files\System\Ole DB,oledb32r.dll,77824
.\Program Files (x86)\Common Files\System\Ole DB,oledbjvs.inc,9804
.\Program Files (x86)\Common Files\System\Ole DB,oledbvbs.inc,9975
.\Program Files (x86)\Common Files\System\Ole DB,sqloledb.dll,797696
.\Program Files (x86)\Common Files\System\Ole DB,sqloledb.rll,4608
.\Program Files (x86)\Common Files\System\Ole DB,sqlxmlx.dll,260608
.\Program Files (x86)\Common Files\System\Ole DB,sqlxmlx.rll,2560
.\Program Files (x86)\Common Files\System,wab32.dll,745984
.\Program Files (x86)\Common Files\System,wab32res.dll,964096
.\Program Files (x86),desktop.ini,174
.\Program Files (x86)\Internet Explorer\en-US,hmmapi.dll.mui,2560
.\Program Files (x86)\Internet Explorer,ExtExport.exe,45056
.\Program Files (x86)\Internet Explorer,hmmapi.dll,50176
.\Program Files (x86)\Internet Explorer,ie9props.propdesc,2963
.\Program Files (x86)\Internet Explorer,ieinstal.exe,480256
