ParentPath,FileName,FileSize
.,$Recycle.Bin,
.,inetpub,
.,PerfLogs,
.,Program Files,
.,Program Files (x86),
.,ProgramData,
.,Users,
.,Windows,
.,bootmgr,384322
.,BOOTNXT,1
.\inetpub,custerr,
.\inetpub,history,
.\inetpub,logs,
.\inetpub,temp,
.\inetpub,wwwroot,
.\inetpub\custerr,en-US,
.\inetpub\custerr\en-US,401-1.htm,1297
.\inetpub\custerr\en-US,401-2.htm,1415
.\inetpub\custerr\en-US,401-3.htm,1383
.\inetpub\custerr\en-US,401-4.htm,1457
.\inetpub\custerr\en-US,401-5.htm,1380
.\inetpub\custerr\en-US,401.htm,1293
.\inetpub\custerr\en-US,403-1.htm,1288
.\inetpub\custerr\en-US,403-10.htm,1336
.\inetpub\custerr\en-US,403-11.htm,1257
.\inetpub\custerr\en-US,403-12.htm,1467
.\inetpub\custerr\en-US,403-13.htm,1409
.\inetpub\custerr\en-US,403-14.htm,1242
.\inetpub\custerr\en-US,403-15.htm,1354
.\inetpub\custerr\en-US,403-16.htm,1402
.\inetpub\custerr\en-US,403-17.htm,1374
.\inetpub\custerr\en-US,403-18.htm,1349
.\inetpub\custerr\en-US,403-19.htm,1337
.\inetpub\custerr\en-US,403-2.htm,1384
.\inetpub\custerr\en-US,403-3.htm,1321
.\inetpub\custerr\en-US,403-4.htm,1258
.\inetpub\custerr\en-US,403-5.htm,1377
.\inetpub\custerr\en-US,403-6.htm,1367
.\inetpub\custerr\en-US,403-7.htm,1410
.\inetpub\custerr\en-US,403-8.htm,1347
.\inetpub\custerr\en-US,403-9.htm,1283
.\inetpub\custerr\en-US,403.htm,1233
.\inetpub\custerr\en-US,404-1.htm,1358
.\inetpub\custerr\en-US,404-10.htm,1220
.\inetpub\custerr\en-US,404-11.htm,1201
.\inetpub\custerr\en-US,404-12.htm,1195
.\inetpub\custerr\en-US,404-13.htm,1227
.\inetpub\custerr\en-US,404-14.htm,1191
.\inetpub\custerr\en-US,404-15.htm,1215
.\inetpub\custerr\en-US,404-2.htm,1334
.\inetpub\custerr\en-US,404-3.htm,1469
.\inetpub\custerr\en-US,404-4.htm,1368
.\inetpub\custerr\en-US,404-5.htm,1180
.\inetpub\custerr\en-US,404-6.htm,1171
.\inetpub\custerr\en-US,404-7.htm,1202
.\inetpub\custerr\en-US,404-8.htm,1187
.\inetpub\custerr\en-US,404-9.htm,1205
.\inetpub\custerr\en-US,404.htm,1245
.\inetpub\custerr\en-US,405.htm,1293
.\inetpub\custerr\en-US,406.htm,1346
.\inetpub\custerr\en-US,412.htm,1505
.\inetpub\custerr\en-US,500-100.asp,5735
.\inetpub\custerr\en-US,500-13.htm,1270
.\inetpub\custerr\en-US,500-14.htm,1299
.\inetpub\custerr\en-US,500-15.htm,1285
.\inetpub\custerr\en-US,500-16.htm,1324
.\inetpub\custerr\en-US,500-17.htm,1329
.\inetpub\custerr\en-US,500-18.htm,1332
.\inetpub\custerr\en-US,500-19.htm,1272
.\inetpub\custerr\en-US,500.htm,1208
.\inetpub\custerr\en-US,501.htm,1508
.\inetpub\custerr\en-US,502.htm,1477
.\inetpub\temp,appPools,
.\inetpub\wwwroot,iisstart.htm,703
.\inetpub\wwwroot,iisstart.png,99710
.\Program Files,Common Files,
.\Program Files,Internet Explorer,
.\Program Files,Windows Defender,
.\Program Files,Windows Mail,
.\Program Files,Windows Media Player,
.\Program Files,Windows Multimedia Platform,
.\Program Files,Windows NT,
.\Program Files,Windows Photo Viewer,
.\Program Files,Windows Portable Devices,
.\Program Files,Windows Sidebar,
.\Program Files,WindowsApps,
.\Program Files,WindowsPowerShell,
.\Program Files,desktop.ini,174
.\Program Files\Common Files,microsoft shared,
.\Program Files\Common Files,Services,
.\Program Files\Common Files,System,
.\Program Files\Common Files\microsoft shared,ink,
.\Program Files\Common Files\microsoft shared,MSInfo,
.\Program Files\Common Files\microsoft shared,Stationery,
.\Program Files\Common Files\microsoft shared,TextConv,
.\Program Files\Common Files\microsoft shared,Triedit,
.\Program Files\Common Files\microsoft shared,VGX,
.\Program Files\Common Files\microsoft shared\ink,ar-SA,
.\Program Files\Common Files\microsoft shared\ink,bg-BG,
.\Program Files\Common Files\microsoft shared\ink,cs-CZ,
.\Program Files\Common Files\microsoft shared\ink,da-DK,
.\Program Files\Common Files\microsoft shared\ink,de-DE,
.\Program Files\Common Files\microsoft shared\ink,el-GR,
.\Program Files\Common Files\microsoft shared\ink,en-GB,
.\Program Files\Common Files\microsoft shared\ink,en-US,
.\Program Files\Common Files\microsoft shared\ink,es-ES,
.\Program Files\Common Files\microsoft shared\ink,es-MX,
.\Program Files\Common Files\microsoft shared\ink,et-EE,
.\Program Files\Common Files\microsoft shared\ink,fi-FI,
.\Program Files\Common Files\microsoft shared\ink,fr-CA,
.\Program Files\Common Files\microsoft shared\ink,fr-FR,
.\Program Files\Common Files\microsoft shared\ink,fsdefinitions,
.\Program Files\Common Files\microsoft shared\ink,he-IL,
.\Program Files\Common Files\microsoft shared\ink,hr-HR,
.\Program Files\Common Files\microsoft shared\ink,hu-HU,
.\Program Files\Common Files\microsoft shared\ink,HWRCustomization,
.\Program Files\Common Files\microsoft shared\ink,it-IT,
.\Program Files\Common Files\microsoft shared\ink,ja-JP,
.\Program Files\Common Files\microsoft shared\ink,ko-KR,
.\Program Files\Common Files\microsoft shared\ink,LanguageModel,
.\Program Files\Common Files\microsoft shared\ink,lt-LT,
.\Program Files\Common Files\microsoft shared\ink,lv-LV,
.\Program Files\Common Files\microsoft shared\ink,nb-NO,
.\Program Files\Common Files\microsoft shared\ink,nl-NL,
.\Program Files\Common Files\microsoft shared\ink,pl-PL,
.\Program Files\Common Files\microsoft shared\ink,pt-BR,
.\Program Files\Common Files\microsoft shared\ink,pt-PT,
.\Program Files\Common Files\microsoft shared\ink,ro-RO,
.\Program Files\Common Files\microsoft shared\ink,ru-RU,
.\Program Files\Common Files\microsoft shared\ink,sk-SK,
.\Program Files\Common Files\microsoft shared\ink,sl-SI,
.\Program Files\Common Files\microsoft shared\ink,sr-Latn-CS,
.\Program Files\Common Files\microsoft shared\ink,sr-Latn-RS,
.\Program Files\Common Files\microsoft shared\ink,sv-SE,
.\Program Files\Common Files\microsoft shared\ink,th-TH,
.\Program Files\Common Files\microsoft shared\ink,tr-TR,
.\Program Files\Common Files\microsoft shared\ink,uk-UA,
.\Program Files\Common Files\microsoft shared\ink,zh-CN,
.\Program Files\Common Files\microsoft shared\ink,zh-HK,
.\Program Files\Common Files\microsoft shared\ink,zh-TW,
.\Program Files\Common Files\microsoft shared\ink,Alphabet.xml,791421
.\Program Files\Common Files\microsoft shared\ink,Content.xml,27045
.\Program Files\Common Files\microsoft shared\ink,FlickAnimation.avi,1600388
.\Program Files\Common Files\microsoft shared\ink,FlickLearningWizard.exe,806912
.\Program Files\Common Files\microsoft shared\ink,hwrcommonlm.dat,46624
.\Program Files\Common Files\microsoft shared\ink,hwrenclm.dat,498624
.\Program Files\Common Files\microsoft shared\ink,hwrlatinlm.dat,1100592
.\Program Files\Common Files\microsoft shared\ink,hwrusalm.dat,2515600
.\Program Files\Common Files\microsoft shared\ink,hwrusash.dat,3526176
.\Program Files\Common Files\microsoft shared\ink,InkDiv.dll,366080
.\Program Files\Common Files\microsoft shared\ink,InkObj.dll,2012160
.\Program Files\Common Files\microsoft shared\ink,InputPersonalization.exe,375296
.\Program Files\Common Files\microsoft shared\ink,ipsar.xml,2418
.\Program Files\Common Files\microsoft shared\ink,ipscat.xml,2592
.\Program Files\Common Files\microsoft shared\ink,ipschs.xml,2462
.\Program Files\Common Files\microsoft shared\ink,ipscht.xml,2436
.\Program Files\Common Files\microsoft shared\ink,ipscsy.xml,2556
.\Program Files\Common Files\microsoft shared\ink,ipsdan.xml,2514
.\Program Files\Common Files\microsoft shared\ink,ipsdeu.xml,2616
.\Program Files\Common Files\microsoft shared\ink,ipsel.xml,2618
.\Program Files\Common Files\microsoft shared\ink,ipsen.xml,2578
.\Program Files\Common Files\microsoft shared\ink,ipsesp.xml,3024
.\Program Files\Common Files\microsoft shared\ink,IPSEventLogMsg.dll,2560
.\Program Files\Common Files\microsoft shared\ink,ipsfin.xml,2658
.\Program Files\Common Files\microsoft shared\ink,ipsfra.xml,2628
.\Program Files\Common Files\microsoft shared\ink,ipshe.xml,2532
.\Program Files\Common Files\microsoft shared\ink,ipshi.xml,2518
.\Program Files\Common Files\microsoft shared\ink,ipshrv.xml,2652
.\Program Files\Common Files\microsoft shared\ink,ipsid.xml,2570
.\Program Files\Common Files\microsoft shared\ink,ipsita.xml,2526
.\Program Files\Common Files\microsoft shared\ink,ipsjpn.xml,2522
.\Program Files\Common Files\microsoft shared\ink,ipskor.xml,2568
.\Program Files\Common Files\microsoft shared\ink,IpsMigrationPlugin.dll,42496
.\Program Files\Common Files\microsoft shared\ink,ipsnld.xml,2626
.\Program Files\Common Files\microsoft shared\ink,ipsnor.xml,2580
.\Program Files\Common Files\microsoft shared\ink,ipsplk.xml,2600
.\Program Files\Common Files\microsoft shared\ink,IpsPlugin.dll,128000
.\Program Files\Common Files\microsoft shared\ink,ipsptb.xml,2246
.\Program Files\Common Files\microsoft shared\ink,ipsptg.xml,2240
.\Program Files\Common Files\microsoft shared\ink,ipsrom.xml,2644
.\Program Files\Common Files\microsoft shared\ink,ipsrus.xml,2542
.\Program Files\Common Files\microsoft shared\ink,ipssrb.xml,2568
.\Program Files\Common Files\microsoft shared\ink,ipssrl.xml,2596
.\Program Files\Common Files\microsoft shared\ink,ipssve.xml,2520
.\Program Files\Common Files\microsoft shared\ink,ipstr.xml,2720
.\Program Files\Common Files\microsoft shared\ink,micaut.dll,1714688
.\Program Files\Common Files\microsoft shared\ink,Microsoft.Ink.dll,503808
.\Program Files\Common Files\microsoft shared\ink,mip.exe,1555968
.\Program Files\Common Files\microsoft shared\ink,mraut.dll,6377472
.\Program Files\Common Files\microsoft shared\ink,mshwgst.dll,51712
.\Program Files\Common Files\microsoft shared\ink,mshwLatin.dll,1093632
.\Program Files\Common Files\microsoft shared\ink,rtscom.dll,177664
.\Program Files\Common Files\microsoft shared\ink,ShapeCollector.exe,741376
.\Program Files\Common Files\microsoft shared\ink,TabIpsps.dll,41472
.\Program Files\Common Files\microsoft shared\ink,tabskb.dll,4038144
.\Program Files\Common Files\microsoft shared\ink,TabTip.exe,371928
.\Program Files\Common Files\microsoft shared\ink,TipRes.dll,1085440
.\Program Files\Common Files\microsoft shared\ink,tipresx.dll,22016
.\Program Files\Common Files\microsoft shared\ink,tipskins.dll,1044480
.\Program Files\Common Files\microsoft shared\ink,tiptsf.dll,612704
.\Program Files\Common Files\microsoft shared\ink,tpcps.dll,96768
.\Program Files\Common Files\microsoft shared\ink\ar-SA,tipresx.dll.mui,10752
.\Program Files\Common Files\microsoft shared\ink\bg-BG,tipresx.dll.mui,10752
.\Program Files\Common Files\microsoft shared\ink\cs-CZ,tipresx.dll.mui,9728
.\Program Files\Common Files\microsoft shared\ink\da-DK,tipresx.dll.mui,10240
.\Program Files\Common Files\microsoft shared\ink\de-DE,tipresx.dll.mui,10752
.\Program Files\Common Files\microsoft shared\ink\el-GR,tipresx.dll.mui,10752
.\Program Files\Common Files\microsoft shared\ink\en-GB,tipresx.dll.mui,9728
.\Program Files\Common Files\microsoft shared\ink\en-US,boxed-correct.avi,111320
.\Program Files\Common Files\microsoft shared\ink\en-US,boxed-delete.avi,48936
.\Program Files\Common Files\microsoft shared\ink\en-US,boxed-join.avi,46622
.\Program Files\Common Files\microsoft shared\ink\en-US,boxed-split.avi,84190
.\Program Files\Common Files\microsoft shared\ink\en-US,correct.avi,180172
.\Program Files\Common Files\microsoft shared\ink\en-US,delete.avi,208408
.\Program Files\Common Files\microsoft shared\ink\en-US,FlickLearningWizard.exe.mui,8704
.\Program Files\Common Files\microsoft shared\ink\en-US,InkObj.dll.mui,5120
.\Program Files\Common Files\microsoft shared\ink\en-US,InputPersonalization.exe.mui,3072
.\Program Files\Common Files\microsoft shared\ink\en-US,IPSEventLogMsg.dll.mui,23040
.\Program Files\Common Files\microsoft shared\ink\en-US,IpsMigrationPlugin.dll.mui,3072
.\Program Files\Common Files\microsoft shared\ink\en-US,join.avi,199994
.\Program Files\Common Files\microsoft shared\ink\en-US,micaut.dll.mui,9216
.\Program Files\Common Files\microsoft shared\ink\en-US,mip.exe.mui,10752
.\Program Files\Common Files\microsoft shared\ink\en-US,mshwLatin.dll.mui,3072
.\Program Files\Common Files\microsoft shared\ink\en-US,rtscom.dll.mui,3072
.\Program Files\Common Files\microsoft shared\ink\en-US,ShapeCollector.exe.mui,44032
.\Program Files\Common Files\microsoft shared\ink\en-US,split.avi,181964
.\Program Files\Common Files\microsoft shared\ink\en-US,tabskb.dll.mui,5120
.\Program Files\Common Files\microsoft shared\ink\en-US,TabTip.exe.mui,2560
.\Program Files\Common Files\microsoft shared\ink\en-US,TipRes.dll.mui,25088
.\Program Files\Common Files\microsoft shared\ink\en-US,tipresx.dll.mui,9728
.\Program Files\Common Files\microsoft shared\ink\en-US,TipTsf.dll.mui,3584
.\Program Files\Common Files\microsoft shared\ink\es-ES,tipresx.dll.mui,10752
.\Program Files\Common Files\microsoft shared\ink\es-MX,tipresx.dll.mui,10752
